medicine_reference_id,dpri_id,source_drug_name,generic_name_guess,active_ingredients_guess,strength_text_guess,dosage_form_guess,route_hint,brand_name,manufacturer,barcode_gtin,philippine_fda_cpr_number,fda_registration_status,fda_verified_at,rxnorm_rxcui,dailymed_setid,openfda_spl_id,common_uses,indications,purpose,warnings,side_effects,contraindications,drug_interactions,storage_instructions,lowest_price_php,median_price_php,highest_price_php,country,source_year,source_page,source_document,source_urls,dataset_status,safety_notes,last_updated
DPRI2025-0162,162,"Cetirizine 10 mg/mL, 10 mL Oral Drops Bottle",Cetirizine,Cetirizine,10 mg; 10 mL,Oral Drops,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,32.38,52.75,70.00,Philippines,2025,8,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0163,163,"Cetirizine 2.5 mg/mL, 10 mL Oral Drops Bottle",Cetirizine,Cetirizine,2.5 mg; 10 mL,Oral Drops,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,18.10,35.00,120.00,Philippines,2025,8,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0164,164,"Cetirizine 5 mg/5 mL, 30 mL Syrup Bottle",Cetirizine,Cetirizine,5 mg/5 mL; 30 mL,Syrup,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,20.75,42.00,95.00,Philippines,2025,8,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0165,165,"Chlorhexidine 0.12%, 120 mL Oral Solution Bottle",Chlorhexidine,Chlorhexidine,0.12%; 120 mL,Oral Solution,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,95.00,109.33,236.00,Philippines,2025,8,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0166,166,"Chlorphenamine (Chlopheniramine) 10 mg/mL, 1 mL Solution for Injection Ampule",Chlorphenamine (Chlopheniramine),Chlorphenamine (Chlopheniramine),10 mg; 1 mL,Solution for Injection,Injection/IV,,,,,Needs Manual Check,,,,,,,,,,,,,9.50,12.25,15.00,Philippines,2025,8,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0167,167,Chlorphenamine (Chlopheniramine) 4 mg Tablet,Chlorphenamine (Chlopheniramine),Chlorphenamine (Chlopheniramine),4 mg,Tablet,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,0.32,0.70,2.31,Philippines,2025,8,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0168,168,Chlorpromazine 100 mg Tablet,Chlorpromazine,Chlorpromazine,100 mg,Tablet,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,2.19,2.24,2.27,Philippines,2025,8,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0169,169,Chlorpromazine 200 mg Tablet,Chlorpromazine,Chlorpromazine,200 mg,Tablet,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,2.21,2.27,3.84,Philippines,2025,8,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0170,170,Ciclosporin 100 mg Capsule,Ciclosporin,Ciclosporin,100 mg,Capsule,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,106.00,114.20,139.00,Philippines,2025,8,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0171,171,Ciclosporin 25 mg Capsule,Ciclosporin,Ciclosporin,25 mg,Capsule,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,25.41,34.46,37.53,Philippines,2025,8,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0172,172,Cilostazol 100 mg Tablet,Cilostazol,Cilostazol,100 mg,Tablet,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,10.20,12.00,30.50,Philippines,2025,8,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0173,173,Cilostazol 50 mg Tablet,Cilostazol,Cilostazol,50 mg,Tablet,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,6.42,9.50,12.10,Philippines,2025,8,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0174,174,Cinnarizine 25 mg Tablet,Cinnarizine,Cinnarizine,25 mg,Tablet,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,0.60,1.23,3.00,Philippines,2025,8,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0175,175,"Ciprofloxacin 2 mg/mL, 100 mL Solution for Injection Vial",Ciprofloxacin,Ciprofloxacin,2 mg; 100 mL,Solution for Injection,Injection/IV,,,,,Needs Manual Check,,,,,,,,,,,,,16.44,23.43,990.00,Philippines,2025,8,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0176,176,"Ciprofloxacin 400 mg/200 mL, IV Infusion",Ciprofloxacin,Ciprofloxacin,400 mg/200 mL,,Injection/IV,,,,,Needs Manual Check,,,,,,,,,,,,,605.00,662.50,720.00,Philippines,2025,8,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0177,177,Ciprofloxacin 500 mg Tablet,Ciprofloxacin,Ciprofloxacin,500 mg,Tablet,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,1.43,1.83,19.75,Philippines,2025,8,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0178,178,"Cisplatin 1 mg/mL, 50 mL Solution for Injection Vial",Cisplatin,Cisplatin,1 mg; 50 mL,Solution for Injection,Injection/IV,,,,,Needs Manual Check,,,,,,,,,,,,,292.00,310.00,840.00,Philippines,2025,9,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0179,179,"Clarithromycin 125 mg/5 mL, 50 mL Oral Suspension Bottle",Clarithromycin,Clarithromycin,125 mg/5 mL; 50 mL,Oral Suspension,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,110.50,155.00,283.00,Philippines,2025,9,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0180,180,Clarithromycin 250 mg Tablet,Clarithromycin,Clarithromycin,250 mg,Tablet,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,20.00,22.75,25.50,Philippines,2025,9,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0181,181,"Clarithromycin 250 mg/5 mL, 50 mL Oral Suspension Bottle",Clarithromycin,Clarithromycin,250 mg/5 mL; 50 mL,Oral Suspension,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,267.00,420.00,550.00,Philippines,2025,9,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0182,182,Clarithromycin 500 mg Tablet,Clarithromycin,Clarithromycin,500 mg,Tablet,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,7.95,14.00,168.00,Philippines,2025,9,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0183,183,Clindamycin 150 mg Capsule,Clindamycin,Clindamycin,150 mg,Capsule,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,3.30,4.90,11.99,Philippines,2025,9,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0184,184,"Clindamycin 150 mg/mL, 2 mL Solution for Injection Ampule",Clindamycin,Clindamycin,150 mg; 2 mL,Solution for Injection,Injection/IV,,,,,Needs Manual Check,,,,,,,,,,,,,44.78,58.44,198.00,Philippines,2025,9,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0185,185,"Clindamycin 150 mg/mL, 4 mL Solution for Injection Ampule",Clindamycin,Clindamycin,150 mg; 4 mL,Solution for Injection,Injection/IV,,,,,Needs Manual Check,,,,,,,,,,,,,34.23,58.78,370.00,Philippines,2025,9,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0186,186,Clindamycin 300 mg Capsule,Clindamycin,Clindamycin,300 mg,Capsule,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,3.79,5.86,35.00,Philippines,2025,9,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0187,187,"Clindamycin 75 mg/5 mL, 60 mL Oral Suspension Bottle",Clindamycin,Clindamycin,75 mg/5 mL; 60 mL,Oral Suspension,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,380.00,435.00,485.00,Philippines,2025,9,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0188,188,"Clobetasol 0.05%, 15 g Cream Tube",Clobetasol,Clobetasol,0.05%; 15 g,Cream,Topical,,,,,Needs Manual Check,,,,,,,,,,,,,39.75,48.00,465.00,Philippines,2025,9,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0189,189,"Clobetasol 0.05%, 5 g Cream Tube",Clobetasol,Clobetasol,0.05%; 5 g,Cream,Topical,,,,,Needs Manual Check,,,,,,,,,,,,,34.88,92.50,113.85,Philippines,2025,9,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0190,190,"Clobetasol 0.05%, 5 g Ointment Tube",Clobetasol,Clobetasol,0.05%; 5 g,Ointment,Topical,,,,,Needs Manual Check,,,,,,,,,,,,,67.50,140.00,176.00,Philippines,2025,9,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0191,191,Clonazepam 2 mg Tablet,Clonazepam,Clonazepam,2 mg,Tablet,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,3.89,8.25,10.00,Philippines,2025,9,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0192,192,Clonidine 150 mcg Tablet,Clonidine,Clonidine,150 mcg,Tablet,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,3.84,6.36,15.00,Philippines,2025,9,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0193,193,"Clonidine 150 mcg/mL, 1 mL Solution for Injection Ampule",Clonidine,Clonidine,150 mcg; 1 mL,Solution for Injection,Injection/IV,,,,,Needs Manual Check,,,,,,,,,,,,,62.35,108.00,108.00,Philippines,2025,9,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0194,194,Clonidine 75 mcg Tablet,Clonidine,Clonidine,75 mcg,Tablet,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,2.52,3.90,10.00,Philippines,2025,9,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0195,195,Clopidogrel 75 mg Tablet,Clopidogrel,Clopidogrel,75 mg,Tablet,Oral,,,,,Needs Manual Check,,,,,,,,,,,,,0.53,1.04,27.50,Philippines,2025,9,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0196,196,"Clotrimazole 1% (10 mg/ g), 10 g Cream Tube",Clotrimazole,Clotrimazole,1%; 10 mg; 10 g,Cream,Topical,,,,,Needs Manual Check,,,,,,,,,,,,,70.00,108.57,147.14,Philippines,2025,9,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
DPRI2025-0197,197,"Clotrimazole 1% (10 mg/ g), 20 g Cream Tube",Clotrimazole,Clotrimazole,1%; 10 mg; 20 g,Cream,Topical,,,,,Needs Manual Check,,,,,,,,,,,,,45.00,150.00,345.00,Philippines,2025,9,DPRI-2025-Booklet-asofOctober7.pdf,DPRI PDF uploaded by user; https://open.fda.gov/apis/drug/label/; https://dailymed.nlm.nih.gov/dailymed/app-support-web-services.cfm; https://www.nlm.nih.gov/research/umls/rxnorm/index.html; https://www.fda.gov.ph/click-check-confirm-inside-the-fdas-digital-leap-towards-safer-products/,Starter record from DPRI; clinical fields require official-label enrichment and human review.,"Do not use this dataset for diagnosis, prescription, or dosing decisions. Verify against product label/FDA registration and pharmacist/doctor advice.",2026-06-10
